track_no	source_row_id	source_work	source_composer	source_recording	source_performers	platform	playlist_name	playlist_visibility	query_attempt	platform_query	source_search_keywords	selected_title	selected_creator_or_artist	selected_album_or_source	selected_duration	selected_url	selected_isrc_or_platform_id	match_status	fallback_used	substitution_reason	expected_order	final_order	order_status	reviewed_by	review_date	notes
011	classical_atlas_011	L'Orfeo: Toccata	Claudio Monteverdi	Monteverdi: L'Orfeo	John Eliot Gardiner, English Baroque Soloists	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Monteverdi L'Orfeo Toccata Gardiner English Baroque Soloists	Monteverdi L'Orfeo Toccata Gardiner English Baroque Soloists							needs_human_review	no		011	011	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
012	classical_atlas_012	Vespro della Beata Vergine: Deus in adjutorium	Claudio Monteverdi	Monteverdi: Vespro della Beata Vergine	John Eliot Gardiner, Monteverdi Choir	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Monteverdi Vespers Deus in adjutorium Gardiner	Monteverdi Vespers Deus in adjutorium Gardiner							needs_human_review	no		012	012	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
013	classical_atlas_013	Sonata pian e forte	Giovanni Gabrieli	Gabrieli: Music for San Rocco	Philip Jones Brass Ensemble	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Gabrieli Sonata pian e forte Philip Jones Brass Ensemble	Gabrieli Sonata pian e forte Philip Jones Brass Ensemble							needs_human_review	no		013	013	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
014	classical_atlas_014	Moro, lasso	Carlo Gesualdo	Gesualdo: Tenebrae Responsories	Hilliard Ensemble	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Gesualdo Moro lasso Hilliard Ensemble	Gesualdo Moro lasso Hilliard Ensemble							needs_human_review	no		014	014	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
015	classical_atlas_015	Concerto Grosso in G Minor, Op. 6 No. 8 "Christmas Concerto"	Arcangelo Corelli	Corelli: Concerti Grossi Op. 6	Trevor Pinnock, The English Concert	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Corelli Christmas Concerto Op 6 No 8 Trevor Pinnock	Corelli Christmas Concerto Op 6 No 8 Trevor Pinnock							needs_human_review	no		015	015	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
016	classical_atlas_016	The Four Seasons: Spring, I. Allegro	Antonio Vivaldi	Vivaldi: The Four Seasons	Fabio Biondi, Europa Galante	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Vivaldi Spring Fabio Biondi Europa Galante	Vivaldi Spring Fabio Biondi Europa Galante							needs_human_review	no		016	016	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
017	classical_atlas_017	Gloria, RV 589: Gloria in excelsis Deo	Antonio Vivaldi	Vivaldi: Gloria	Robert King, The King's Consort	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Vivaldi Gloria RV 589 Robert King King's Consort	Vivaldi Gloria RV 589 Robert King King's Consort							needs_human_review	no		017	017	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
018	classical_atlas_018	Zadok the Priest	George Frideric Handel	Handel: Coronation Anthems	Trevor Pinnock, The English Concert	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Handel Zadok the Priest Trevor Pinnock English Concert	Handel Zadok the Priest Trevor Pinnock English Concert							needs_human_review	no		018	018	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
019	classical_atlas_019	Messiah: Hallelujah	George Frideric Handel	Handel: Messiah	John Eliot Gardiner, Monteverdi Choir	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Handel Messiah Hallelujah Gardiner Monteverdi Choir	Handel Messiah Hallelujah Gardiner Monteverdi Choir							needs_human_review	no		019	019	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
020	classical_atlas_020	Brandenburg Concerto No. 3 in G Major, BWV 1048	Johann Sebastian Bach	Bach: Brandenburg Concertos	Trevor Pinnock, The English Concert	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Bach Brandenburg Concerto 3 Trevor Pinnock English Concert	Bach Brandenburg Concerto 3 Trevor Pinnock English Concert							needs_human_review	no		020	020	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
021	classical_atlas_021	Cello Suite No. 1 in G Major, BWV 1007: Prelude	Johann Sebastian Bach	Bach: Cello Suites	Yo-Yo Ma	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Bach Cello Suite 1 Prelude Yo-Yo Ma	Bach Cello Suite 1 Prelude Yo-Yo Ma							needs_human_review	no		021	021	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
022	classical_atlas_022	The Well-Tempered Clavier I, BWV 846: Prelude and Fugue	Johann Sebastian Bach	Bach: Well-Tempered Clavier	András Schiff	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Bach Well-Tempered Clavier BWV 846 András Schiff	Bach Well-Tempered Clavier BWV 846 András Schiff							needs_human_review	no		022	022	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
023	classical_atlas_023	Toccata and Fugue in D Minor, BWV 565	Johann Sebastian Bach	Bach: Organ Works	Ton Koopman	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Bach Toccata Fugue D minor BWV 565 Ton Koopman	Bach Toccata Fugue D minor BWV 565 Ton Koopman							needs_human_review	no		023	023	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
024	classical_atlas_024	St Matthew Passion, BWV 244: Erbarme dich	Johann Sebastian Bach	Bach: St Matthew Passion	John Eliot Gardiner, Anne Sofie von Otter	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Bach Erbarme dich Gardiner Anne Sofie von Otter	Bach Erbarme dich Gardiner Anne Sofie von Otter							needs_human_review	no		024	024	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
025	classical_atlas_025	Goldberg Variations, BWV 988: Aria	Johann Sebastian Bach	Bach: Goldberg Variations	Glenn Gould	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Bach Goldberg Variations Aria Glenn Gould	Bach Goldberg Variations Aria Glenn Gould							needs_human_review	no		025	025	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
026	classical_atlas_026	Keyboard Sonata in D Minor, K. 141	Domenico Scarlatti	Scarlatti: Keyboard Sonatas	Jean Rondeau	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Scarlatti K 141 Jean Rondeau	Scarlatti K 141 Jean Rondeau							needs_human_review	no		026	026	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
027	classical_atlas_027	Les Indes galantes: Danse du Grand Calumet	Jean-Philippe Rameau	Rameau: Les Indes galantes	William Christie, Les Arts Florissants	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Rameau Les Indes galantes William Christie	Rameau Les Indes galantes William Christie							needs_human_review	no		027	027	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
028	classical_atlas_028	Dido and Aeneas: When I am laid in earth	Henry Purcell	Purcell: Dido and Aeneas	Christopher Hogwood, Catherine Bott	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Purcell Dido's Lament Catherine Bott Hogwood	Purcell Dido's Lament Catherine Bott Hogwood							needs_human_review	no		028	028	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
029	classical_atlas_029	Viola Concerto in G Major: I. Largo	Georg Philipp Telemann	Telemann: Viola Concerto	Tabea Zimmermann, Camerata Bern	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Telemann Viola Concerto Tabea Zimmermann	Telemann Viola Concerto Tabea Zimmermann							needs_human_review	no		029	029	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
030	classical_atlas_030	Les Barricades Mystérieuses	François Couperin	Couperin: Pieces de clavecin	Alexandre Tharaud	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Couperin Les Barricades Mystérieuses Alexandre Tharaud	Couperin Les Barricades Mystérieuses Alexandre Tharaud							needs_human_review	no		030	030	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
031	classical_atlas_031	Battalia à 10	Heinrich Ignaz Franz Biber	Biber: Battalia	Reinhard Goebel, Musica Antiqua Köln	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Biber Battalia Goebel Musica Antiqua Köln	Biber Battalia Goebel Musica Antiqua Köln							needs_human_review	no		031	031	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
032	classical_atlas_032	Armide: Passacaille	Jean-Baptiste Lully	Lully: Armide	Christophe Rousset, Les Talens Lyriques	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Lully Armide Passacaille Christophe Rousset	Lully Armide Passacaille Christophe Rousset							needs_human_review	no		032	032	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
033	classical_atlas_033	Solfeggietto in C Minor, Wq. 117/2	Carl Philipp Emanuel Bach	C.P.E. Bach: Keyboard Works	Miklós Spányi	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	CPE Bach Solfeggietto Miklos Spanyi	CPE Bach Solfeggietto Miklos Spanyi							needs_human_review	no		033	033	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
034	classical_atlas_034	Trumpet Concerto in E-flat Major: III. Allegro	Joseph Haydn	Haydn: Trumpet Concerto	Håkan Hardenberger, Academy of St Martin in the Fields	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Haydn Trumpet Concerto Hardenberger Marriner	Haydn Trumpet Concerto Hardenberger Marriner							needs_human_review	no		034	034	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
035	classical_atlas_035	String Quartet Op. 76 No. 3 "Emperor": II. Poco adagio	Joseph Haydn	Haydn: String Quartets Op. 76	Quatuor Mosaïques	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Haydn Emperor Quartet Op 76 No 3 Quatuor Mosaiques	Haydn Emperor Quartet Op 76 No 3 Quatuor Mosaiques							needs_human_review	no		035	035	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
036	classical_atlas_036	Symphony No. 94 "Surprise": II. Andante	Joseph Haydn	Haydn: London Symphonies	Leonard Bernstein, New York Philharmonic	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Haydn Surprise Symphony Bernstein New York Philharmonic	Haydn Surprise Symphony Bernstein New York Philharmonic							needs_human_review	no		036	036	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
037	classical_atlas_037	String Quintet in E Major, G. 275: Minuet	Luigi Boccherini	Boccherini: String Quintets	Europa Galante	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Boccherini Minuet G 275 Europa Galante	Boccherini Minuet G 275 Europa Galante							needs_human_review	no		037	037	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
038	classical_atlas_038	Orfeo ed Euridice: Dance of the Blessed Spirits	Christoph Willibald Gluck	Gluck: Orfeo ed Euridice	John Eliot Gardiner, Orchestre de l'Opéra de Lyon	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Gluck Dance of the Blessed Spirits Gardiner	Gluck Dance of the Blessed Spirits Gardiner							needs_human_review	no		038	038	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
039	classical_atlas_039	Eine kleine Nachtmusik, K. 525: I. Allegro	Wolfgang Amadeus Mozart	Mozart: Serenades	Academy of St Martin in the Fields, Neville Marriner	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Mozart Eine kleine Nachtmusik Marriner Academy St Martin	Mozart Eine kleine Nachtmusik Marriner Academy St Martin							needs_human_review	no		039	039	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
040	classical_atlas_040	Clarinet Concerto in A Major, K. 622: II. Adagio	Wolfgang Amadeus Mozart	Mozart: Clarinet Concerto	Jack Brymer, Neville Marriner	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Mozart Clarinet Concerto K 622 Jack Brymer Marriner	Mozart Clarinet Concerto K 622 Jack Brymer Marriner							needs_human_review	no		040	040	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
041	classical_atlas_041	Piano Concerto No. 21 in C Major, K. 467: II. Andante	Wolfgang Amadeus Mozart	Mozart: Piano Concertos	Murray Perahia, English Chamber Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Mozart Piano Concerto 21 Perahia English Chamber Orchestra	Mozart Piano Concerto 21 Perahia English Chamber Orchestra							needs_human_review	no		041	041	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
042	classical_atlas_042	Die Zauberflöte: Der Hölle Rache	Wolfgang Amadeus Mozart	Mozart: Die Zauberflöte	Georg Solti, Sumi Jo	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Mozart Queen of the Night Sumi Jo Solti	Mozart Queen of the Night Sumi Jo Solti							needs_human_review	no		042	042	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
043	classical_atlas_043	Requiem, K. 626: Lacrimosa	Wolfgang Amadeus Mozart	Mozart: Requiem	John Eliot Gardiner, Monteverdi Choir	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Mozart Requiem Lacrimosa Gardiner	Mozart Requiem Lacrimosa Gardiner							needs_human_review	no		043	043	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
044	classical_atlas_044	Symphony No. 40 in G Minor, K. 550: I. Molto allegro	Wolfgang Amadeus Mozart	Mozart: Symphonies 40 and 41	Nikolaus Harnoncourt, Royal Concertgebouw Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Mozart Symphony 40 Harnoncourt Concertgebouw	Mozart Symphony 40 Harnoncourt Concertgebouw							needs_human_review	no		044	044	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
045	classical_atlas_045	Piano Sonata No. 8 "Pathétique": II. Adagio cantabile	Ludwig van Beethoven	Beethoven: Piano Sonatas	Daniel Barenboim	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Beethoven Pathetique Sonata Adagio Barenboim	Beethoven Pathetique Sonata Adagio Barenboim							needs_human_review	no		045	045	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
046	classical_atlas_046	Symphony No. 3 "Eroica": I. Allegro con brio	Ludwig van Beethoven	Beethoven: Symphonies 1-9	Herbert von Karajan, Berliner Philharmoniker	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Beethoven Eroica Karajan Berlin Philharmonic	Beethoven Eroica Karajan Berlin Philharmonic							needs_human_review	no		046	046	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
047	classical_atlas_047	Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio	Ludwig van Beethoven	Beethoven: Symphonies Nos. 5 and 7	Carlos Kleiber, Vienna Philharmonic	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Beethoven Symphony 5 Kleiber Vienna Philharmonic	Beethoven Symphony 5 Kleiber Vienna Philharmonic							needs_human_review	no		047	047	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
048	classical_atlas_048	Piano Concerto No. 4 in G Major, Op. 58: I. Allegro moderato	Ludwig van Beethoven	Beethoven: Piano Concertos	Leif Ove Andsnes, Mahler Chamber Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Beethoven Piano Concerto 4 Andsnes Mahler Chamber Orchestra	Beethoven Piano Concerto 4 Andsnes Mahler Chamber Orchestra							needs_human_review	no		048	048	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
