row_id	chapter	period_range	genre_or_form	track_no	after_1900	composer	composer_zh	composer_western	composer_ipa	composer_wiki	work	recommended_recording	performers	search_keywords	strict_search_query	medium_search_query	fallback_search_query	playable_type	apple_search_keywords	difficulty	role
classical_atlas_017	02 Baroque	c. 1600-1750	vocal work	017	no	Antonio Vivaldi		Antonio Vivaldi	/ænˈtoʊnioʊ vɪˈvɑːldi/	https://en.wikipedia.org/wiki/Antonio_Vivaldi	Gloria, RV 589: Gloria in excelsis Deo	Vivaldi: Gloria	Robert King, The King's Consort	Vivaldi Gloria RV 589 Robert King King's Consort	Antonio Vivaldi Gloria, RV 589: Gloria in excelsis Deo Robert King, The King's Consort	Antonio Vivaldi Gloria, RV 589: Gloria in excelsis Deo	Antonio Vivaldi Vivaldi: Gloria	audio_track	Vivaldi Gloria RV 589 Robert King King's Consort	basic	Representative listening example for 02 Baroque.
classical_atlas_018	02 Baroque	c. 1600-1750	vocal work	018	no	George Frideric Handel		George Frideric Handel	/ˈdʒɔːrdʒ ˈfrɪdərɪk ˈhændəl/	https://en.wikipedia.org/wiki/George_Frideric_Handel	Zadok the Priest	Handel: Coronation Anthems	Trevor Pinnock, The English Concert	Handel Zadok the Priest Trevor Pinnock English Concert	George Frideric Handel Zadok the Priest Trevor Pinnock, The English Concert	George Frideric Handel Zadok the Priest	George Frideric Handel Handel: Coronation Anthems	audio_track	Handel Zadok the Priest Trevor Pinnock English Concert	basic	Representative listening example for 02 Baroque.
classical_atlas_019	02 Baroque	c. 1600-1750	oratorio	019	no	George Frideric Handel		George Frideric Handel	/ˈdʒɔːrdʒ ˈfrɪdərɪk ˈhændəl/	https://en.wikipedia.org/wiki/George_Frideric_Handel	Messiah: Hallelujah	Handel: Messiah	John Eliot Gardiner, Monteverdi Choir	Handel Messiah Hallelujah Gardiner Monteverdi Choir	George Frideric Handel Messiah: Hallelujah John Eliot Gardiner, Monteverdi Choir	George Frideric Handel Messiah: Hallelujah	George Frideric Handel Handel: Messiah	audio_track	Handel Messiah Hallelujah Gardiner Monteverdi Choir	basic	Representative listening example for 02 Baroque.
classical_atlas_020	02 Baroque	c. 1600-1750	concerto	020	no	Johann Sebastian Bach		Johann Sebastian Bach	/ˈjoʊhɑːn səˈbæstiən bɑːx/	https://en.wikipedia.org/wiki/Johann_Sebastian_Bach	Brandenburg Concerto No. 3 in G Major, BWV 1048	Bach: Brandenburg Concertos	Trevor Pinnock, The English Concert	Bach Brandenburg Concerto 3 Trevor Pinnock English Concert	Johann Sebastian Bach Brandenburg Concerto No. 3 in G Major, BWV 1048 Trevor Pinnock, The English Concert	Johann Sebastian Bach Brandenburg Concerto No. 3 in G Major, BWV 1048	Johann Sebastian Bach Bach: Brandenburg Concertos	audio_track	Bach Brandenburg Concerto 3 Trevor Pinnock English Concert	basic	Representative listening example for 02 Baroque.
classical_atlas_021	02 Baroque	c. 1600-1750	solo suite	021	no	Johann Sebastian Bach		Johann Sebastian Bach	/ˈjoʊhɑːn səˈbæstiən bɑːx/	https://en.wikipedia.org/wiki/Johann_Sebastian_Bach	Cello Suite No. 1 in G Major, BWV 1007: Prelude	Bach: Cello Suites	Yo-Yo Ma	Bach Cello Suite 1 Prelude Yo-Yo Ma	Johann Sebastian Bach Cello Suite No. 1 in G Major, BWV 1007: Prelude Yo-Yo Ma	Johann Sebastian Bach Cello Suite No. 1 in G Major, BWV 1007: Prelude	Johann Sebastian Bach Bach: Cello Suites	audio_track	Bach Cello Suite 1 Prelude Yo-Yo Ma	basic	Representative listening example for 02 Baroque.
classical_atlas_022	02 Baroque	c. 1600-1750	toccata/fugue	022	no	Johann Sebastian Bach		Johann Sebastian Bach	/ˈjoʊhɑːn səˈbæstiən bɑːx/	https://en.wikipedia.org/wiki/Johann_Sebastian_Bach	The Well-Tempered Clavier I, BWV 846: Prelude and Fugue	Bach: Well-Tempered Clavier	András Schiff	Bach Well-Tempered Clavier BWV 846 András Schiff	Johann Sebastian Bach The Well-Tempered Clavier I, BWV 846: Prelude and Fugue András Schiff	Johann Sebastian Bach The Well-Tempered Clavier I, BWV 846: Prelude and Fugue	Johann Sebastian Bach Bach: Well-Tempered Clavier	audio_track	Bach Well-Tempered Clavier BWV 846 András Schiff	basic	Representative listening example for 02 Baroque.
classical_atlas_023	02 Baroque	c. 1600-1750	toccata/fugue	023	no	Johann Sebastian Bach		Johann Sebastian Bach	/ˈjoʊhɑːn səˈbæstiən bɑːx/	https://en.wikipedia.org/wiki/Johann_Sebastian_Bach	Toccata and Fugue in D Minor, BWV 565	Bach: Organ Works	Ton Koopman	Bach Toccata Fugue D minor BWV 565 Ton Koopman	Johann Sebastian Bach Toccata and Fugue in D Minor, BWV 565 Ton Koopman	Johann Sebastian Bach Toccata and Fugue in D Minor, BWV 565	Johann Sebastian Bach Bach: Organ Works	audio_track	Bach Toccata Fugue D minor BWV 565 Ton Koopman	basic	Representative listening example for 02 Baroque.
classical_atlas_024	02 Baroque	c. 1600-1750	passion	024	no	Johann Sebastian Bach		Johann Sebastian Bach	/ˈjoʊhɑːn səˈbæstiən bɑːx/	https://en.wikipedia.org/wiki/Johann_Sebastian_Bach	St Matthew Passion, BWV 244: Erbarme dich	Bach: St Matthew Passion	John Eliot Gardiner, Anne Sofie von Otter	Bach Erbarme dich Gardiner Anne Sofie von Otter	Johann Sebastian Bach St Matthew Passion, BWV 244: Erbarme dich John Eliot Gardiner, Anne Sofie von Otter	Johann Sebastian Bach St Matthew Passion, BWV 244: Erbarme dich	Johann Sebastian Bach Bach: St Matthew Passion	audio_track	Bach Erbarme dich Gardiner Anne Sofie von Otter	advanced	Representative listening example for 02 Baroque.
classical_atlas_025	02 Baroque	c. 1600-1750	variations	025	no	Johann Sebastian Bach		Johann Sebastian Bach	/ˈjoʊhɑːn səˈbæstiən bɑːx/	https://en.wikipedia.org/wiki/Johann_Sebastian_Bach	Goldberg Variations, BWV 988: Aria	Bach: Goldberg Variations	Glenn Gould	Bach Goldberg Variations Aria Glenn Gould	Johann Sebastian Bach Goldberg Variations, BWV 988: Aria Glenn Gould	Johann Sebastian Bach Goldberg Variations, BWV 988: Aria	Johann Sebastian Bach Bach: Goldberg Variations	audio_track	Bach Goldberg Variations Aria Glenn Gould	advanced	Representative listening example for 02 Baroque.
classical_atlas_026	02 Baroque	c. 1600-1750	keyboard or piano work	026	no	Domenico Scarlatti		Domenico Scarlatti	/doʊˈmɛnɪkoʊ skɑːrˈlɑːti/	https://en.wikipedia.org/wiki/Domenico_Scarlatti	Keyboard Sonata in D Minor, K. 141	Scarlatti: Keyboard Sonatas	Jean Rondeau	Scarlatti K 141 Jean Rondeau	Domenico Scarlatti Keyboard Sonata in D Minor, K. 141 Jean Rondeau	Domenico Scarlatti Keyboard Sonata in D Minor, K. 141	Domenico Scarlatti Scarlatti: Keyboard Sonatas	audio_track	Scarlatti K 141 Jean Rondeau	basic	Representative listening example for 02 Baroque.
classical_atlas_027	02 Baroque	c. 1600-1750	opera	027	no	Jean-Philippe Rameau		Jean-Philippe Rameau	/ˌʒɑːn fɪˈliːp ræˈmoʊ/	https://en.wikipedia.org/wiki/Jean-Philippe_Rameau	Les Indes galantes: Danse du Grand Calumet	Rameau: Les Indes galantes	William Christie, Les Arts Florissants	Rameau Les Indes galantes William Christie	Jean-Philippe Rameau Les Indes galantes: Danse du Grand Calumet William Christie, Les Arts Florissants	Jean-Philippe Rameau Les Indes galantes: Danse du Grand Calumet	Jean-Philippe Rameau Rameau: Les Indes galantes	audio_track	Rameau Les Indes galantes William Christie	advanced	Representative listening example for 02 Baroque.
classical_atlas_028	02 Baroque	c. 1600-1750	opera	028	no	Henry Purcell		Henry Purcell	/ˈhɛnri ˈpɜːrsəl/	https://en.wikipedia.org/wiki/Henry_Purcell	Dido and Aeneas: When I am laid in earth	Purcell: Dido and Aeneas	Christopher Hogwood, Catherine Bott	Purcell Dido's Lament Catherine Bott Hogwood	Henry Purcell Dido and Aeneas: When I am laid in earth Christopher Hogwood, Catherine Bott	Henry Purcell Dido and Aeneas: When I am laid in earth	Henry Purcell Purcell: Dido and Aeneas	audio_track	Purcell Dido's Lament Catherine Bott Hogwood	basic	Representative listening example for 02 Baroque.
classical_atlas_029	02 Baroque	c. 1600-1750	concerto	029	no	Georg Philipp Telemann		Georg Philipp Telemann	/ˈɡeɪɔːrɡ ˈfɪlɪp ˈtɛləmən/	https://en.wikipedia.org/wiki/Georg_Philipp_Telemann	Viola Concerto in G Major: I. Largo	Telemann: Viola Concerto	Tabea Zimmermann, Camerata Bern	Telemann Viola Concerto Tabea Zimmermann	Georg Philipp Telemann Viola Concerto in G Major: I. Largo Tabea Zimmermann, Camerata Bern	Georg Philipp Telemann Viola Concerto in G Major: I. Largo	Georg Philipp Telemann Telemann: Viola Concerto	audio_track	Telemann Viola Concerto Tabea Zimmermann	advanced	Representative listening example for 02 Baroque.
classical_atlas_030	02 Baroque	c. 1600-1750	keyboard or piano work	030	no	François Couperin		François Couperin	/frɑːnˈswɑː kuːpəˈræn/	https://en.wikipedia.org/wiki/Fran%C3%A7ois_Couperin	Les Barricades Mystérieuses	Couperin: Pieces de clavecin	Alexandre Tharaud	Couperin Les Barricades Mystérieuses Alexandre Tharaud	François Couperin Les Barricades Mystérieuses Alexandre Tharaud	François Couperin Les Barricades Mystérieuses	François Couperin Couperin: Pieces de clavecin	audio_track	Couperin Les Barricades Mystérieuses Alexandre Tharaud	advanced	Representative listening example for 02 Baroque.
classical_atlas_031	02 Baroque	c. 1600-1750	programmatic instrumental work	031	no	Heinrich Ignaz Franz Biber		Heinrich Ignaz Franz Biber	/ˈhaɪnrɪx ˈɪɡnɑːts frɑːnts ˈbiːbər/	https://en.wikipedia.org/wiki/Heinrich_Ignaz_Franz_Biber	Battalia à 10	Biber: Battalia	Reinhard Goebel, Musica Antiqua Köln	Biber Battalia Goebel Musica Antiqua Köln	Heinrich Ignaz Franz Biber Battalia à 10 Reinhard Goebel, Musica Antiqua Köln	Heinrich Ignaz Franz Biber Battalia à 10	Heinrich Ignaz Franz Biber Biber: Battalia	audio_track	Biber Battalia Goebel Musica Antiqua Köln	advanced	Representative listening example for 02 Baroque.
classical_atlas_032	02 Baroque	c. 1600-1750	opera	032	no	Jean-Baptiste Lully		Jean-Baptiste Lully	/ˌʒɑːn bæpˈtiːst luːˈliː/	https://en.wikipedia.org/wiki/Jean-Baptiste_Lully	Armide: Passacaille	Lully: Armide	Christophe Rousset, Les Talens Lyriques	Lully Armide Passacaille Christophe Rousset	Jean-Baptiste Lully Armide: Passacaille Christophe Rousset, Les Talens Lyriques	Jean-Baptiste Lully Armide: Passacaille	Jean-Baptiste Lully Lully: Armide	audio_track	Lully Armide Passacaille Christophe Rousset	advanced	Representative listening example for 02 Baroque.
classical_atlas_033	03 Classical Period	c. 1750-1820	keyboard or piano work	033	no	Carl Philipp Emanuel Bach		Carl Philipp Emanuel Bach	/kɑːrl ˈfɪlɪp ɪˈmænjuəl bɑːx/	https://en.wikipedia.org/wiki/Carl_Philipp_Emanuel_Bach	Solfeggietto in C Minor, Wq. 117/2	C.P.E. Bach: Keyboard Works	Miklós Spányi	CPE Bach Solfeggietto Miklos Spanyi	Carl Philipp Emanuel Bach Solfeggietto in C Minor, Wq. 117/2 Miklós Spányi	Carl Philipp Emanuel Bach Solfeggietto in C Minor, Wq. 117/2	Carl Philipp Emanuel Bach C.P.E. Bach: Keyboard Works	audio_track	CPE Bach Solfeggietto Miklos Spanyi	basic	Representative listening example for 03 Classical Period.
classical_atlas_034	03 Classical Period	c. 1750-1820	concerto	034	no	Joseph Haydn		Joseph Haydn	/ˈdʒoʊzəf ˈhaɪdən/	https://en.wikipedia.org/wiki/Joseph_Haydn	Trumpet Concerto in E-flat Major: III. Allegro	Haydn: Trumpet Concerto	Håkan Hardenberger, Academy of St Martin in the Fields	Haydn Trumpet Concerto Hardenberger Marriner	Joseph Haydn Trumpet Concerto in E-flat Major: III. Allegro Håkan Hardenberger, Academy of St Martin in the Fields	Joseph Haydn Trumpet Concerto in E-flat Major: III. Allegro	Joseph Haydn Haydn: Trumpet Concerto	audio_track	Haydn Trumpet Concerto Hardenberger Marriner	basic	Representative listening example for 03 Classical Period.
classical_atlas_035	03 Classical Period	c. 1750-1820	string quartet	035	no	Joseph Haydn		Joseph Haydn	/ˈdʒoʊzəf ˈhaɪdən/	https://en.wikipedia.org/wiki/Joseph_Haydn	String Quartet Op. 76 No. 3 "Emperor": II. Poco adagio	Haydn: String Quartets Op. 76	Quatuor Mosaïques	Haydn Emperor Quartet Op 76 No 3 Quatuor Mosaiques	Joseph Haydn String Quartet Op. 76 No. 3 "Emperor": II. Poco adagio Quatuor Mosaïques	Joseph Haydn String Quartet Op. 76 No. 3 "Emperor": II. Poco adagio	Joseph Haydn Haydn: String Quartets Op. 76	audio_track	Haydn Emperor Quartet Op 76 No 3 Quatuor Mosaiques	basic	Representative listening example for 03 Classical Period.
classical_atlas_036	03 Classical Period	c. 1750-1820	symphony	036	no	Joseph Haydn		Joseph Haydn	/ˈdʒoʊzəf ˈhaɪdən/	https://en.wikipedia.org/wiki/Joseph_Haydn	Symphony No. 94 "Surprise": II. Andante	Haydn: London Symphonies	Leonard Bernstein, New York Philharmonic	Haydn Surprise Symphony Bernstein New York Philharmonic	Joseph Haydn Symphony No. 94 "Surprise": II. Andante Leonard Bernstein, New York Philharmonic	Joseph Haydn Symphony No. 94 "Surprise": II. Andante	Joseph Haydn Haydn: London Symphonies	audio_track	Haydn Surprise Symphony Bernstein New York Philharmonic	basic	Representative listening example for 03 Classical Period.
classical_atlas_037	03 Classical Period	c. 1750-1820	string quintet/dance	037	no	Luigi Boccherini		Luigi Boccherini	/luˈiːdʒi ˌbɒkəˈriːni/	https://en.wikipedia.org/wiki/Luigi_Boccherini	String Quintet in E Major, G. 275: Minuet	Boccherini: String Quintets	Europa Galante	Boccherini Minuet G 275 Europa Galante	Luigi Boccherini String Quintet in E Major, G. 275: Minuet Europa Galante	Luigi Boccherini String Quintet in E Major, G. 275: Minuet	Luigi Boccherini Boccherini: String Quintets	audio_track	Boccherini Minuet G 275 Europa Galante	basic	Representative listening example for 03 Classical Period.
classical_atlas_038	03 Classical Period	c. 1750-1820	opera	038	no	Christoph Willibald Gluck		Christoph Willibald Gluck	/ˈkrɪstɒf ˈvɪlibɑːld ɡlʊk/	https://en.wikipedia.org/wiki/Christoph_Willibald_Gluck	Orfeo ed Euridice: Dance of the Blessed Spirits	Gluck: Orfeo ed Euridice	John Eliot Gardiner, Orchestre de l'Opéra de Lyon	Gluck Dance of the Blessed Spirits Gardiner	Christoph Willibald Gluck Orfeo ed Euridice: Dance of the Blessed Spirits John Eliot Gardiner, Orchestre de l'Opéra de Lyon	Christoph Willibald Gluck Orfeo ed Euridice: Dance of the Blessed Spirits	Christoph Willibald Gluck Gluck: Orfeo ed Euridice	audio_track	Gluck Dance of the Blessed Spirits Gardiner	basic	Representative listening example for 03 Classical Period.
classical_atlas_039	03 Classical Period	c. 1750-1820	nocturne	039	no	Wolfgang Amadeus Mozart		Wolfgang Amadeus Mozart	/ˈwʊlfɡæŋ ˌæməˈdeɪəs ˈmoʊtsɑːrt/	https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart	Eine kleine Nachtmusik, K. 525: I. Allegro	Mozart: Serenades	Academy of St Martin in the Fields, Neville Marriner	Mozart Eine kleine Nachtmusik Marriner Academy St Martin	Wolfgang Amadeus Mozart Eine kleine Nachtmusik, K. 525: I. Allegro Academy of St Martin in the Fields, Neville Marriner	Wolfgang Amadeus Mozart Eine kleine Nachtmusik, K. 525: I. Allegro	Wolfgang Amadeus Mozart Mozart: Serenades	audio_track	Mozart Eine kleine Nachtmusik Marriner Academy St Martin	basic	Representative listening example for 03 Classical Period.
classical_atlas_040	03 Classical Period	c. 1750-1820	concerto	040	no	Wolfgang Amadeus Mozart		Wolfgang Amadeus Mozart	/ˈwʊlfɡæŋ ˌæməˈdeɪəs ˈmoʊtsɑːrt/	https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart	Clarinet Concerto in A Major, K. 622: II. Adagio	Mozart: Clarinet Concerto	Jack Brymer, Neville Marriner	Mozart Clarinet Concerto K 622 Jack Brymer Marriner	Wolfgang Amadeus Mozart Clarinet Concerto in A Major, K. 622: II. Adagio Jack Brymer, Neville Marriner	Wolfgang Amadeus Mozart Clarinet Concerto in A Major, K. 622: II. Adagio	Wolfgang Amadeus Mozart Mozart: Clarinet Concerto	audio_track	Mozart Clarinet Concerto K 622 Jack Brymer Marriner	basic	Representative listening example for 03 Classical Period.
